FID_Kern_fields,TNC,Kitfox,Krat,Corridors,CPAD
12906,0,100,100,0,0
12919,100,100,100,0,100
12955,0,100,100,0,100
12975,0,100,100,0,100
12977,0,100,100,0,100
13008,0,100,100,0,100
13013,0,100,100,0,0
13014,0,100,100,0,100
13023,100,100,100,0,100
13026,0,100,100,0,100
13060,0,100,100,0,100
13064,0,100,100,0,100
13071,100,100,100,0,0
13081,0,100,100,0,100
13094,0,100,100,0,0
13107,100,100,100,0,100
13113,0,100,100,0,100
13116,0,100,0,0,54.25
13130,0,100,100,0,100
13131,0,100,100,0,100
13134,0,100,100,0,0
13139,0,100,100,0,0
13140,100,100,100,0,100
13157,0,100,100,0,0
13167,0,100,100,0,100
13171,0,100,100,0,100
13201,0,100,100,0,60.66666667
13204,100,100,100,0,100
13215,100,100,100,0,100
13216,0,100,100,0,100
13258,0,100,100,0,100
13269,0,100,100,0,100
13277,0,100,100,0,0
13300,0,100,100,0,100
13307,100,100,100,0,100
13309,0,100,100,0,100
13326,0,100,100,0,100
13334,0,100,100,0,0
13359,0,100,100,0,100
13361,0,100,100,0,95.5
13365,0,100,100,0,100
13385,0,100,100,0,100
13401,0,100,0,0,0
13441,0,100,100,0,0
13445,100,100,100,0,100
13454,0,100,100,0,41
13463,100,100,100,0,100
13475,0,100,100,0,100
13482,0,100,100,0,100
13502,100,100,100,0,100
13510,0,100,100,0,0
13548,100,100,100,0,100
13549,0,100,100,0,0
13553,0,100,100,0,100
13565,0,100,100,0,100
13586,0,100,100,0,100
13640,95,100,100,0,100
13642,0,100,100,0,100
13650,0,100,100,0,100
13673,0,100,100,5.5,100
13732,0,100,100,0,100
13778,100,100,100,0,100
13783,0,100,100,0,100
13786,0,100,100,0,100
13809,0,100,100,0,100
13827,0,100,100,0,87.5
13840,0,100,0,0,100
13843,0,100,100,0,36
13875,0,100,100,0,100
13887,0,100,100,0,100
13895,0,100,100,0,100
13912,0,100,100,0,0
13921,0,100,98.5,0,100
13939,0,100,100,0,100
13948,0,100,100,0,100
13950,0,100,100,100,100
13951,0,100,100,0,100
13979,0,100,100,0,0
14061,0,100,100,0,0
14063,0,100,100,0,0
14069,0,100,100,4,100
14084,0,100,100,0,100
14128,0,100,100,0,0
14129,0,100,100,0,77.66666667
14189,100,100,100,0,100
14200,100,100,100,0,100
14220,0,100,100,0,0
14221,0,100,100,100,100
14224,0,100,100,0,100
14230,0,100,100,0,0
14277,0,100,100,0,0
14293,0,100,100,0,100
14314,0,100,0,0,0
14332,0,100,100,0,74
14338,0,100,39.5,0,0
14357,0,100,100,0,100
14368,0,100,100,0,100
14374,100,100,100,0,100
14385,0,100,100,0,0
14389,0,100,100,0,100
14422,0,100,100,0,100
14427,100,100,100,0,100
14442,0,100,0,0,100
14487,0,100,0,0,0
14494,0,100,100,0,0
14498,0,100,100,0,100
14506,0,100,100,0,0
14509,0,100,100,0,0
